DateTime, ElementId, ElementIndex, x, y, z, Temperature, UpstreamJunctionTemperature, DownstreamJunctionTemperature
0.0003819444444, 2, 2, 0.5, 0, 0, 4.234480554e+253, 2.452256205e+253, 1.505432673e+254
0.0003819444444, 3, 3, 0.7, 0, 0, 2.587417291e+254, 1.505432673e+254, 9.174164654e+254
0.0003819444444, 4, 4, 0.9, 0, 0, 1.576091202e+255, 9.174164654e+254, 0
0.0003935185185, 0, 0, 0.1, 0, 0, 3.964695e+259, 1, 2.213125799e+260
0.0003935185185, 1, 1, 0.3, 0, 0, 4.029782099e+260, 2.213125799e+260, 1.474863931e+261
0.0003935185185, 2, 2, 0.5, 0, 0, 2.546749652e+261, 1.474863931e+261, 9.0541451e+261
0.0003935185185, 3, 3, 0.7, 0, 0, 1.556154055e+262, 9.0541451e+261, 5.517630873e+262
0.0003935185185, 4, 4, 0.9, 0, 0, 9.479107691e+262, 5.517630873e+262, 0
0.0004050925926, 0, 0, 0.1, 0, 0, 2.384492143e+267, 1, 1.331043392e+268
0.0004050925926, 1, 1, 0.3, 0, 0, 2.423637569e+268, 1.331043392e+268, 8.870295078e+268
0.0004050925926, 2, 2, 0.5, 0, 0, 1.531695259e+269, 8.870295078e+268, 5.445447342e+269
0.0004050925926, 3, 3, 0.7, 0, 0, 9.359199425e+269, 5.445447342e+269, 3.31847657e+270
0.0004050925926, 4, 4, 0.9, 0, 0, 5.701033197e+270, 3.31847657e+270, 0
0.0004166666667, 0, 0, 0.1, 0, 0, 1.434108495e+275, 1, 8.005313168e+275
0.0004166666667, 1, 1, 0.3, 0, 0, 1.457651784e+276, 8.005313168e+275, 5.334874163e+276
0.0004166666667, 2, 2, 0.5, 0, 0, 9.212096541e+276, 5.334874163e+276, 3.275063126e+277
0.0004166666667, 3, 3, 0.7, 0, 0, 5.628916598e+277, 3.275063126e+277, 1.995836075e+278
0.0004166666667, 4, 4, 0.9, 0, 0, 3.42878049e+278, 1.995836075e+278, 0
0.0004282407407, 0, 0, 0.1, 0, 0, 8.625179081e+282, 1, 4.814646864e+283
0.0004282407407, 1, 1, 0.3, 0, 0, 8.76677582e+283, 4.814646864e+283, 3.208560942e+284
